productName,currentprice,mrp,imageurl
RARE,₹383,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/top/q/v/g/m-ep2097-rare-original-imaeuwyqtvky7tfm-bb.jpeg?q=70
RARE,₹447,₹1399,https://rukminim1.flixcart.com/image/612/612/kjuby4w0/top/x/d/t/l-ep7007-rare-original-imafzbh4pdawhfxh.jpeg?q=70
Yash Gallery,₹499,₹3599,https://rukminim1.flixcart.com/image/612/612/xif0q/top/k/3/k/l-1057ykblue-yash-gallery-original-imagjy9fsu3uafy5.jpeg?q=70
FEBIA,₹324,₹699,https://rukminim1.flixcart.com/image/612/612/k6qsn0w0/top/g/z/p/m-hw-top337-hanumntra-original-imafp5yatg9qppjc.jpeg?q=70
KAMDEV,₹279,₹2495,https://rukminim1.flixcart.com/image/612/612/xif0q/top/p/o/s/3xl-52-kamdev-original-imafyd6sa7ywhhr9-bb.jpeg?q=70
ROARERS,₹288,₹999,https://rukminim1.flixcart.com/image/612/612/kr83ukw0/top/f/i/h/xl-ct001-roarers-original-imag529c5vt5yeen.jpeg?q=70
Selvia,₹349,₹1497,https://rukminim1.flixcart.com/image/612/612/l0fm07k0/top/j/p/i/l-297tk5091-selvia-original-imagc85dqmhjemnn.jpeg?q=70
krishnafit,₹275,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/b/3/l-kf-28-women-square-neck-full-sleeve-top-krishnafit-original-imaggqn8fy2gdtrz.jpeg?q=70
Selvia,₹359,₹1830,https://rukminim1.flixcart.com/image/612/612/kjym9ow0/top/x/e/t/xl-118tkr2647-selvia-original-imafzfydfxsjhxpc.jpeg?q=70
Sheetal Associates,₹279,₹999,https://rukminim1.flixcart.com/image/612/612/kyyqpow0/top/u/c/t/xs-541-sheetal-associates-original-imagb2rt7hh5gdh6.jpeg?q=70
Sheetal Associates,₹279,₹999,https://rukminim1.flixcart.com/image/612/612/kf8kvbk0/top/g/7/p/l-406-sheetal-associates-original-imafvq2g668qccqr.jpeg?q=70
Zkal,₹387,₹1499,https://rukminim1.flixcart.com/image/612/612/l2p23rk0/top/v/r/h/s-ys-wt01-ysec-original-imagdzb5g8cnutzt.jpeg?q=70
Selvia,₹299,₹1997,https://rukminim1.flixcart.com/image/612/612/kflftzk0/top/y/h/b/xl-102tkr2457-selvia-original-imafwyv4npe56rnz.jpeg?q=70
SASSAFRAS,₹386,₹899,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/e/z/xs-sftops4894-sassafras-original-imafvbg2crnhpzxt-bb.jpeg?q=70
Adokedo,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/w/w/f/xl-00197-top-adokedo-original-imag663ahvgu4qkm-bb.jpeg?q=70
krishnafit,₹275,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/b/3/l-kf-28-women-square-neck-full-sleeve-top-krishnafit-original-imaggqn8fy2gdtrz.jpeg?q=70
Brijam,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/kjkbv680-0/top/j/c/d/xl-dg-16-brijam-original-imafz3hvhtzghfwu.jpeg?q=70
ROARERS,₹309,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/r/w/e/xl-asd-roarers-original-imag5da6ggacrhhx-bb.jpeg?q=70
FEBIA,₹332,₹899,https://rukminim1.flixcart.com/image/612/612/kmp7ngw0/top/t/e/u/m-bj-top316-febia-original-imagfjnc5ahspyt5.jpeg?q=70
Zkal,₹387,₹1499,https://rukminim1.flixcart.com/image/612/612/l2p23rk0/top/v/r/h/s-ys-wt01-ysec-original-imagdzb5g8cnutzt.jpeg?q=70
Aahwan,₹379,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/k/d/j/m-153-black-aahwan-original-imag5turmga42ekq-bb.jpeg?q=70
Aahwan,₹379,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/1/l/z/xs-182-black-aahwan-original-imagegczxchttghe-bb.jpeg?q=70
HARPA,₹406,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/shopsy-top/n/l/b/m-1-gr5691-pink-shopglobal-original-imagjwtyczeyrgha.jpeg?q=70
Emeros,₹474,₹1499,https://rukminim1.flixcart.com/image/612/612/j8lxyfk0/top/z/g/p/s-emz01505-emeros-original-imaeyhcnzfpqu5zp.jpeg?q=70
SHACADES,₹299,₹1099,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/p/z/m-sys-5168-shacades-original-imagfqfgafzpv5uv-bb.jpeg?q=70
MARISY,₹305,₹1499,https://rukminim1.flixcart.com/image/612/612/xif0q/top/k/b/c/xl-wts01-marisy-original-imagcnu2j7gyshxv-bb.jpeg?q=70
Adokedo,₹399,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/5/9/o/l-00206-top-adokedo-original-imag76qcxcvu5cmj-bb.jpeg?q=70
krishnafit,₹183,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/m/n/g/xl-kf-26-v-neck-crop-top-white-s-krishnafit-original-imageprbtpghm92b-bb.jpeg?q=70
JUNEBERRY,₹299,₹1199,https://rukminim1.flixcart.com/image/612/612/ki0loy80/top/m/g/d/s-tsh-54-coffee-juneberry-original-imafxwdvjvz99zgz.jpeg?q=70
Fab Star,₹360,₹1399,https://rukminim1.flixcart.com/image/612/612/kxm5qq80/top/e/t/7/s-regular-top-fab-star-original-imagaf3q8hv7gh26.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/xif0q/top/o/j/r/l-prw-1009-prettify-original-imaghen3xh99fagh.jpeg?q=70
Dream Beauty Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/l4zxn680/top/q/c/e/s-combo-tani-red-and-tani-black-dream-beauty-fashion-original-imagfrkhjedmfnxg.jpeg?q=70
HARPA,₹315,₹1199,https://rukminim1.flixcart.com/image/612/612/jwuzzww0/top/t/d/h/xl-gr5863-pink-harpa-original-imafhg9h8mgcmrtv.jpeg?q=70
POPWINGS,₹249,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/8/v/o/m-p-popt00766-popwings-original-imafyxffhcubcven-bb.jpeg?q=70
Selvia,₹449,₹2230,https://rukminim1.flixcart.com/image/612/612/xif0q/top/q/e/h/s-365tk7085-selvia-original-imagg69myszcdv6b.jpeg?q=70
Dream Beauty Fashion,₹349,₹599,https://rukminim1.flixcart.com/image/612/612/l0zm64w0/top/p/p/m/xs-baati-mix-combo-yellow-and-pista-dream-beauty-fashion-original-imagcnmg4zv2zafb.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/km3s1ow0/top/t/e/l/s-prw-1017-prettify-original-imagf2xfzcuzbceb.jpeg?q=70
Yash Gallery,₹469,₹1199,https://rukminim1.flixcart.com/image/612/612/k4rcmfk0/top/h/t/c/3xl-206yk324mustard-yash-gallery-original-imafnh8g2knbz4tw.jpeg?q=70
Fashion Dream,₹484,₹1999,https://rukminim1.flixcart.com/image/612/612/l0bbonk0/top/p/e/y/l-wt0002-beige-fashion-dream-original-imagc4rgvypsuwjb.jpeg?q=70
Rajovati,₹291,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/q/x/q/xl-top176-rajovati-original-imaghrgbartzhtpt.jpeg?q=70
Selvia,₹359,₹1797,https://rukminim1.flixcart.com/image/612/612/l13whow0/top/w/h/j/m-311tk8061-selvia-original-imagcr2ffngakfhr.jpeg?q=70
Selvia,₹399,₹1663,https://rukminim1.flixcart.com/image/612/612/k69ncsw0/top/j/k/8/s-96tk2398-selvia-original-imafzrqemc86paxn.jpeg?q=70
Leriya Fashion,₹375,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/o/l/2/l-w1568-1572-leriya-fashion-original-imagghw3msaa2hzm.jpeg?q=70
INFITROB,₹390,₹1799,https://rukminim1.flixcart.com/image/612/612/kxp0mfk0/top/g/l/s/xl-vro-45-top-womens-top-designer-top-western-wear-for-women-original-imaga3cb4ymqn4sf.jpeg?q=70
Silkova,₹225,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/w/w/xxl-anshu34-anshu-fashions-original-imafgnjrqaudyhu9-bb.jpeg?q=70
Aahwan,₹499,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/w/d/u/xs-187-white-aahwan-original-imaghb7fnktszk6g.jpeg?q=70
